Food,Calories,Categories
Acai,20,Breakfast
Acerola,1,Breakfast
Almond Oil,123,Dinner
Alphabet Soup,62,Lunch
Amaranth,716,Dinner
Apple,95,Breakfast
Applesauce,167,Other
Apricot,17,Breakfast
Apricot Kernel Oil,124,Dinner
Arby Grand Turkey Club,489,Other
Arby Reuben,641,Dinner
Arby Roast Beef Classic,360,Other
Arby Roast Beef Max,360,Other
Argan Oil,125,Dinner
Artichoke,60,Breakfast
Arugula,1,Breakfast
Asian Pear,75,Breakfast
Asparagus,20,Breakfast
Aubergine,115,Other
Avocado,320,Other
Avocado Oil,120,Dinner
Babassu Oil,124,Dinner
Baby Back Ribs,360,Other
Bacon and Eggs,539,Dinner
Baked Beans,244,Other
Banana,111,Other
Barley,556,Dinner
Barley Groats,31,Breakfast
Baskin-Robbins,170,Other
BBQ Chicken Pizza,309,Other
BBQ Pizza,314,Other
BBQ Rib,142,Other
BBQ Ribs,360,Other
Bean Burrito,380,Other
Bean Stew,335,Other
Beans,92,Breakfast
Beef Bouillon,7,Breakfast
Beef Noodle Soup,83,Lunch
Beef Pizza,714,Dinner
Beef Soup,70,Lunch
Beef Stew,186,Other
Beetroot,35,Breakfast
Bell Pepper,25,Breakfast
Ben and Jerry’s,210,Other
Bianca Pizza,460,Other
Big N Tasty,517,Dinner
Biryani,484,Other
Black Olives,2,Breakfast
Black Pudding,101,Other
Black Rice,323,Other
Blackberries,62,Breakfast
Blood Oranges,70,Breakfast
BLT,593,Dinner
Blue Crab,100,Other
Blueberries,84,Breakfast
Bouillon,39,Breakfast
Bratwurst,283,Other
Breadfruit,99,Lunch
Broccoli,45,Breakfast
Broccoli Cheese Soup,264,Lunch
Broccoli Soup,206,Lunch
Brown Rice,670,Dinner
Brussels Sprouts,8,Breakfast
Buckwheat,583,Dinner
Buckwheat Groats,567,Dinner
Buffalo Chicken Pizza,600,Dinner
Burger King Angry Whopper,740,Lunch
Burger King Double Whopper,894,Lunch
Burger King Double Whopper with Cheese,994,Lunch
Burger King Original Chicken Sandwich,659,Lunch
Burger King Premium Alaskan Fish Sandwich,591,Lunch
Burger King Triple Whopper,1471,Lunch
Burger King Whopper,672,Lunch
